codeno,location,concat_date_time_in,concat_date_time_out,time_diff,day,total_space,color_value
3,"(6.976094, 79.925311)",1/25/2021 5:52,1/25/2021 6:09,17,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:53,1/25/2021 5:58,5,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:54,1/25/2021 6:01,7,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:55,1/25/2021 6:12,17,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:57,1/25/2021 6:00,3,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:57,1/25/2021 6:32,35,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:59,1/25/2021 6:02,3,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:59,1/25/2021 6:39,5,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:59,1/25/2021 6:05,2,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:00,1/25/2021 6:08,5,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:01,1/25/2021 6:14,5,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:03,,21,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:03,1/25/2021 6:10,6,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:03,1/25/2021 6:18,2,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:05,,28,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:05,,16,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:05,1/25/2021 6:10,36,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:07,1/25/2021 6:37,6,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:09,1/25/2021 6:30,3,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:09,,4,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:10,1/25/2021 6:25,6,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:10,,3,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:12,1/25/2021 6:23,8,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:14,1/25/2021 6:22,3,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:18,1/25/2021 6:41,8,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:18,1/25/2021 6:28,25,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:18,1/25/2021 6:35,9,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 6:19,,10,W,55,895603
